1.76724e+09,-nan,-nan
1.76724e+09,1.98097,0.0112703
1.76724e+09,0.168925,0.0361418
1.76724e+09,1.96442,0.0414161
1.76724e+09,1.8863,0.0498545
1.76724e+09,1.9137,0.0246891
1.76724e+09,0.462164,0.0209416
1.76724e+09,1.6969,0.0361603
1.76724e+09,1.36384,0.0377601
1.76724e+09,1.58736,0.0672551
1.76724e+09,1.56489,0.0624266
1.76724e+09,0.800956,0.0564856
1.76724e+09,0.83633,0.0491467
1.76724e+09,0.483024,0.01826
1.76724e+09,1.05501,0.0585012
1.76724e+09,0.955967,0.0485256
1.76724e+09,1.41959,0.0441208
1.76724e+09,0.538647,0.0436718
1.76724e+09,1.99064,0.0221501
1.76724e+09,0.404207,0.0397449
1.76724e+09,0.494618,0.0355365
1.76724e+09,0.735239,0.0174889
1.76724e+09,0.420378,0.0378649
1.76724e+09,0.580193,0.013959
1.76724e+09,0.107873,0.0208679
1.76724e+09,0.37356,0.0319507
1.76724e+09,0.283774,0.0143424
1.76724e+09,0.603366,0.0174611
1.76724e+09,0.56161,0.0397929
1.76724e+09,0.63129,0.055863
1.76724e+09,1.99557,0.0288397
1.76724e+09,0.43429,0.0377506
1.76724e+09,0.614457,0.0456754
1.76724e+09,1.99307,0.0611221
1.76724e+09,1.97151,0.0201304
1.76724e+09,1.95832,0.400373
1.76724e+09,1.84935,0.0680959
1.76724e+09,1.89364,0.107928
1.76724e+09,0.476892,0.20934
1.76724e+09,1.85762,1.14768
1.76724e+09,0.476569,0.0645964
1.76724e+09,1.85063,0.0899414
1.76724e+09,1.81529,0.072731
1.76724e+09,1.84928,0.0957533
1.76724e+09,1.73371,0.124964
1.76724e+09,1.75821,0.0462592
1.76724e+09,1.67174,0.076824
1.76724e+09,1.91941,0.127365
1.76724e+09,1.85871,0.0106553
1.76724e+09,1.88044,0.102992
1.76724e+09,1.95301,0.0808684
1.76724e+09,0,0.0760559
1.76724e+09,1.95299,0.210355
1.76724e+09,1.90516,0.0922227
1.76724e+09,1.82501,0.101847
1.76724e+09,1.95634,0.0362641
1.76724e+09,1.68328,0.088083
1.76724e+09,1.8354,0.110795
1.76724e+09,0.987172,0.0971088
1.76724e+09,1.72002,0.120727
1.76724e+09,1.81374,0.254497
1.76724e+09,1.81785,0.0456233
1.76724e+09,0,0.192694
1.76724e+09,1.89445,0.26879
1.76724e+09,1.76227,0.076553
1.76724e+09,1.84515,0.131341
1.76724e+09,1.85442,0.0701065
1.76724e+09,0,0.0156372
1.76724e+09,1.59656,0.196812
1.76724e+09,1.75227,0.045364
1.76724e+09,1.59456,0.110865
1.76724e+09,1.79777,0.0638508
1.76724e+09,0,0.0306011
1.76724e+09,0.879805,0.0438801
1.76724e+09,0.828895,0.0396673
1.76724e+09,1.80289,0.0427081
1.76724e+09,1.87517,0.053624
1.76724e+09,0.336003,0.0252866
1.76724e+09,1.90281,0.0226892
1.76724e+09,1.84597,0.0552789
1.76724e+09,0,0.0617414
1.76724e+09,1.74703,0.145993
1.76724e+09,0,0.0496881
1.76724e+09,0.931432,0.106436
1.76724e+09,1.24826,0.0139671
1.76724e+09,0.997313,0.140297
1.76724e+09,1.24091,0.0562694
1.76724e+09,1.246,0.109355
1.76724e+09,1.08483,0.0312156
1.76724e+09,1.0068,0.102552
1.76724e+09,1.61438,0.0489794
1.76724e+09,0.798033,0.0330335
1.76724e+09,1.16519,0.115467
1.76724e+09,1.20816,0.15526
1.76724e+09,1.39561,0.108
1.76724e+09,1.52164,0.181407
1.76724e+09,1.46988,0.12763
1.76724e+09,1.60424,0.0256719
1.76724e+09,0.856529,0.0297046
1.76724e+09,1.83148,0.0257219
1.76724e+09,1.50334,0.0349164
1.76724e+09,0.500266,0.0670323
1.76724e+09,1.95689,0.00523186
1.76724e+09,1.87562,0.0183827
1.76724e+09,1.9733,0.0148247
1.76724e+09,1.98186,0.0788162
1.76724e+09,0.0543143,0.0339021
1.76724e+09,1.99061,0.0433478
1.76724e+09,0.115628,0.0218816
1.76724e+09,1.97357,0.112408
1.76724e+09,1.95214,0.0427213
1.76724e+09,1.97192,0.0542208
1.76724e+09,0.0457603,0.423826
1.76724e+09,1.9929,0.0542086
1.76724e+09,1.97299,0.0611158
1.76724e+09,1.96453,0.172681
1.76724e+09,1.99824,0.0632546
1.76724e+09,0.110626,0.160116
1.76724e+09,0.460214,0.172582
1.76724e+09,1.24634,0.101807
1.76724e+09,0.104124,0.0663782
1.76724e+09,1.99972,0.0369373
1.76724e+09,1.94803,0.10646
1.76724e+09,1.98806,0.156232
1.76724e+09,0,0.135913
1.76724e+09,0.382276,0.103823
1.76724e+09,1.96971,0.081384
1.76724e+09,1.99936,0.0721278
1.76724e+09,0.0919817,0.194539
1.76724e+09,1.99097,0.0515831
1.76724e+09,1.88918,0.242442
1.76724e+09,1.97216,0.060419
1.76724e+09,1.97626,0.0315803
1.76724e+09,1.97159,0.0108247
1.76724e+09,1.96705,0.0416039
1.76724e+09,1.95101,0.0201673
1.76724e+09,1.96632,0.0347297
1.76724e+09,0.669771,0.137705
1.76724e+09,0.802469,0.0344719
1.76724e+09,0.273354,0.124693
