1.76724e+09,-nan,-nan
1.76724e+09,0.0464146,3.61227e-16
1.76724e+09,0.339232,3.18925e-16
1.76724e+09,0.324838,1.27381e-16
1.76724e+09,0.277893,3.88284e-17
1.76724e+09,0.421292,5.34172e-16
1.76724e+09,0.368436,1.49227e-16
1.76724e+09,0.0159668,7.09012e-17
1.76724e+09,0.17264,3.2617e-16
1.76724e+09,0.354575,1.38778e-17
1.76724e+09,0.647523,3.25521e-17
1.76724e+09,0.208864,1.14946e-16
1.76724e+09,0,4.97364e-16
1.76724e+09,0.125133,1.17607e-16
1.76724e+09,0.169247,1.83643e-17
1.76724e+09,0,0
1.76724e+09,0.57144,2.19471e-17
1.76724e+09,0.0363876,3.16332e-16
1.76724e+09,0.0521347,4.73287e-16
1.76724e+09,0.0973069,4.05198e-16
1.76724e+09,0.193968,5.55382e-17
1.76724e+09,0.0107475,1.80705e-16
1.76724e+09,0.0491201,0
1.76724e+09,0.0922943,5.73247e-17
1.76724e+09,0.0389045,1.50254e-16
1.76724e+09,0.0382878,3.25042e-16
1.76724e+09,0.0423408,4.55643e-16
1.76724e+09,0.47074,2.38977e-16
1.76724e+09,0.677626,6.63148e-16
1.76724e+09,0.130189,3.62856e-16
1.76724e+09,0.0879733,2.77426e-16
1.76724e+09,0.0215008,4.07421e-16
1.76724e+09,0.066825,3.87248e-16
1.76724e+09,0.0086678,2.66629e-16
1.76724e+09,0.0143516,3.01822e-16
1.76724e+09,0.0498343,1.93186e-16
1.76724e+09,0.101766,2.64225e-17
1.76724e+09,0.176735,4.2763e-16
1.76724e+09,0.0758543,5.11081e-17
1.76724e+09,0.234785,2.51659e-16
1.76724e+09,0.12901,2.53805e-16
1.76724e+09,0.0170864,4.90661e-18
1.76724e+09,0.0147564,4.49963e-17
1.76724e+09,0.0182154,1.83653e-16
1.76724e+09,0.0836818,6.94282e-16
1.76724e+09,0.260934,6.09873e-17
1.76724e+09,0.0253908,1.30278e-16
1.76724e+09,0.137694,5.23809e-16
1.76724e+09,0.228567,9.89553e-17
1.76724e+09,0.278403,0
1.76724e+09,0,0
1.76724e+09,0.70278,4.78325e-16
1.76724e+09,0.048815,4.18698e-16
1.76724e+09,0.688402,3.55275e-16
1.76724e+09,0.987897,1.36614e-16
1.76724e+09,0.706337,3.28619e-16
1.76724e+09,0.369645,2.93845e-16
1.76724e+09,0.161637,4.7691e-16
1.76724e+09,0.133721,3.8098e-16
1.76724e+09,0.197965,4.36489e-16
1.76724e+09,0.136714,4.59417e-16
1.76724e+09,0.0290443,6.6337e-16
1.76724e+09,0.0619265,2.5487e-16
1.76724e+09,0.19345,0
1.76724e+09,0.185385,1.88425e-16
1.76724e+09,0.0976462,5.06225e-16
1.76724e+09,0.0936512,1.10517e-15
1.76724e+09,0.114718,5.33911e-16
1.76724e+09,0.203534,8.75784e-16
1.76724e+09,0.0932846,4.62651e-16
1.76724e+09,0.247893,3.77514e-16
1.76724e+09,0.343597,6.16684e-16
